Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
Robert Sanchez,es ESP,GK,24-085,21,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,1,0,0,1,0,0,0,1,Matches
Leandro Trossard,be BEL,"FW,MF",27-069,19.3,24,15,8,8,8,3,19,15.8,16,315,100,31.7,55,115,145,26,0,0,26,18,42,4,0,Matches
Marc Cucurella,es ESP,DF,23-204,18.3,44,27,17,21,6,24,43,55.8,19,287,96,33.4,123,114,50,41,7,2,34,30,74,31,0,Matches
Neal Maupay,fr FRA,FW,25-181,16.6,13,8,3,6,4,4,10,40,6,324,95,29.3,29,118,177,16,3,0,13,9,22,3,0,Matches
Joel Veltman,nl NED,DF,30-027,16.1,54,25,30,20,4,17,34,50,17,192,61,31.8,95,75,22,32,5,0,27,34,88,34,0,Matches
Adam Lallana,eng ENG,MF,33-277,15.2,34,18,15,15,4,10,31,32.3,21,259,92,35.5,98,109,52,23,6,0,17,25,59,11,1,Matches
Jakub Moder,pl POL,"MF,FW",22-310,14.8,31,21,17,11,3,16,31,51.6,15,273,85,31.1,83,104,86,22,2,0,20,16,47,20,1,Matches
Lewis Dunk,eng ENG,DF,30-082,14,13,7,7,5,1,2,5,40,3,80,31,38.8,45,30,5,23,15,0,8,26,39,58,0,Matches
Yves Bissouma,ml MLI,MF,25-165,13.4,49,31,25,21,3,13,16,81.3,3,231,81,35.1,90,116,25,19,1,0,18,29,78,24,0,Matches
Pascal Grob,de GER,"MF,DF",30-241,11.7,20,14,13,5,2,10,22,45.5,12,168,49,29.2,68,58,42,22,4,0,18,10,30,16,0,Matches
Shane Duffy,ie IRL,DF,30-041,12.9,10,6,8,1,1,3,10,30,7,68,15,22.1,44,21,3,26,14,1,12,15,25,77,0,Matches
Dan Burn,eng ENG,DF,29-278,11.4,24,15,12,8,4,6,18,33.3,12,141,46,32.6,61,64,16,29,11,0,18,33,57,52,2,Matches
Adam Webster,eng ENG,DF,27-038,11,18,8,13,3,2,9,17,52.9,8,82,27,32.9,49,26,7,21,10,0,11,22,40,48,1,Matches
Solly March,eng ENG,"DF,FW",27-206,10,20,12,10,5,5,4,11,36.4,7,152,48,31.6,46,48,58,15,1,0,14,20,40,13,0,Matches
Alexis Mac Allister,ar ARG,"MF,FW",23-049,9.4,38,28,16,15,7,13,33,39.4,20,230,90,39.1,74,100,56,23,3,0,20,12,50,9,0,Matches
Tariq Lamptey,eng ENG,"DF,FW",21-134,9.1,21,12,9,9,3,8,13,61.5,5,117,38,32.5,41,39,37,14,3,0,11,17,38,8,0,Matches
Enock Mwepu,zm ZAM,MF,24-041,7.1,19,10,5,10,4,5,21,23.8,16,147,40,27.2,46,62,39,13,1,0,12,9,28,12,0,Matches
Danny Welbeck,eng ENG,"FW,MF",31-077,4.5,4,3,0,3,1,1,4,25,3,71,19,26.8,11,25,35,7,0,0,7,0,4,2,0,Matches
Steven Alzate,co COL,MF,23-156,2.8,5,5,1,3,1,2,3,66.7,1,52,14,26.9,17,24,11,3,0,0,3,12,17,6,0,Matches
Aaron Connolly,ie IRL,FW,22-014,1.7,0,0,0,0,0,0,1,0,1,27,5,18.5,4,11,12,2,0,0,2,0,0,0,0,Matches
Jason Steele,eng ENG,GK,31-177,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Jeremy Sarmiento,ec ECU,FW,19-240,0.2,2,1,1,0,1,0,1,0,1,10,4,40,4,4,2,2,1,0,1,1,3,0,0,Matches
Taylor Richards,eng ENG,"MF,FW",21-069,0.3,0,0,0,0,0,0,2,0,2,10,5,50,5,5,0,0,0,0,0,0,0,0,0,Matches
Jurgen Locadia,nl NED,FW,28-096,0.3,1,1,0,1,0,0,0,,0,4,3,75,0,2,2,0,0,0,0,0,1,0,0,Matches
