Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,01-Mar,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
Robert Sanchez,es ESP,GK,24-085,21,965,748,957,10,0,0,797,0,0,,0,0,558,2467,1389,0,0,0,0,0,572,572,100,0,Matches
Leandro Trossard,be BEL,"FW,MF",27-069,19.3,956,9,111,374,535,108,920,39,53,73.6,40,0,731,4181,2208,116,29,26,42,57,925,711,76.9,124,Matches
Marc Cucurella,es ESP,DF,23-204,18.3,1413,60,382,630,489,32,1213,19,30,63.3,21,3,866,4199,2633,103,33,4,14,18,966,858,88.8,38,Matches
Neal Maupay,fr FRA,FW,25-181,16.6,563,7,39,227,326,84,533,22,34,64.7,25,4,388,1466,603,37,15,4,36,39,765,406,53.1,141,Matches
Joel Veltman,nl NED,DF,30-027,16.1,1090,89,396,499,259,14,944,8,18,44.4,9,1,610,2863,1241,44,12,1,11,8,651,613,94.2,10,Matches
Adam Lallana,eng ENG,MF,33-277,15.2,966,35,240,538,245,32,961,16,24,66.7,17,0,687,2798,1282,56,15,4,20,18,761,696,91.5,58,Matches
Jakub Moder,pl POL,"MF,FW",22-310,14.8,839,32,163,355,376,55,813,8,25,32,9,0,548,2817,1349,69,27,1,26,20,711,580,81.6,79,Matches
Lewis Dunk,eng ENG,DF,30-082,14,1122,168,673,480,37,10,1094,2,2,100,2,0,746,3655,1822,24,3,0,1,3,856,844,98.6,1,Matches
Yves Bissouma,ml MLI,MF,25-165,13.4,867,56,253,502,188,13,854,24,30,80,24,1,616,3746,1820,66,21,4,17,15,599,562,93.8,9,Matches
Pascal Grob,de GER,"MF,DF",30-241,11.7,840,27,161,358,356,31,738,3,7,42.9,4,1,497,2316,1013,58,17,3,12,14,639,557,87.2,53,Matches
Shane Duffy,ie IRL,DF,30-041,12.9,922,171,601,327,42,18,905,2,2,100,2,0,553,2221,1094,16,4,0,2,1,672,653,97.2,1,Matches
Dan Burn,eng ENG,DF,29-278,11.4,774,100,392,364,64,12,756,1,2,50,1,0,465,2348,1203,27,9,0,6,3,519,498,96,2,Matches
Adam Webster,eng ENG,DF,27-038,11,953,83,489,466,94,7,929,6,7,85.7,6,0,626,3792,2429,61,21,2,2,4,684,675,98.7,2,Matches
Solly March,eng ENG,"DF,FW",27-206,10,541,28,105,197,269,37,489,16,23,69.6,16,1,364,2098,1182,62,11,11,13,14,437,340,77.8,48,Matches
Alexis Mac Allister,ar ARG,"MF,FW",23-049,9.4,632,25,125,286,258,25,588,1,12,8.3,3,1,385,1761,929,46,15,1,9,14,438,390,89,35,Matches
Tariq Lamptey,eng ENG,"DF,FW",21-134,9.1,544,20,110,205,266,33,502,18,36,50,19,0,390,2252,1467,85,13,14,14,14,458,371,81,38,Matches
Enock Mwepu,zm ZAM,MF,24-041,7.1,362,19,77,186,130,26,361,10,18,55.6,12,0,239,1114,611,29,11,4,14,9,298,233,78.2,33,Matches
Danny Welbeck,eng ENG,"FW,MF",31-077,4.5,145,3,10,50,93,27,144,4,9,44.4,5,0,91,375,216,14,2,5,14,14,186,107,57.5,31,Matches
Steven Alzate,co COL,MF,23-156,2.8,169,8,48,98,35,2,169,1,2,50,1,1,115,484,264,13,8,0,3,3,113,105,92.9,3,Matches
Aaron Connolly,ie IRL,FW,22-014,1.7,34,0,0,14,21,4,33,0,1,0,0,0,22,132,42,3,0,0,3,1,65,22,33.8,7,Matches
Jason Steele,eng ENG,GK,31-177,1,42,37,42,0,0,0,36,0,0,,0,0,28,90,36,0,0,0,0,0,28,28,100,0,Matches
Jeremy Sarmiento,ec ECU,FW,19-240,0.2,16,2,6,7,4,0,16,1,1,100,1,0,11,103,65,1,0,0,1,1,9,8,88.9,1,Matches
Taylor Richards,eng ENG,"MF,FW",21-069,0.3,31,0,3,14,16,0,31,0,1,0,1,0,26,123,59,3,2,0,0,1,29,26,89.7,4,Matches
Jurgen Locadia,nl NED,FW,28-096,0.3,6,0,0,3,3,2,6,1,1,100,1,0,5,10,4,0,0,0,0,1,15,4,26.7,0,Matches
