Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
Marc Cucurella,es ESP,MF,22,36,70,48,24,37,9,20,56,35.7,36,774,235,30.4,199,387,188,69,4,0,65,54,124,40,0,Matches
Djene,tg TOG,DF,28,32.7,61,36,31,27,3,21,34,61.8,13,276,102,37,131,129,16,39,13,2,26,55,116,210,1,Matches
Nemanja Maksimovic,rs SRB,MF,25,30.3,56,35,25,23,8,11,50,22,39,623,171,27.4,151,360,112,58,11,0,47,50,106,81,1,Matches
Mauro Arambarri,uy URU,MF,24,33.1,74,56,27,36,11,17,76,22.4,59,752,195,25.9,182,453,117,54,5,0,49,54,128,49,0,Matches
Mathias Olivera,uy URU,DF,22,29,71,41,36,24,11,31,59,52.5,28,432,123,28.5,185,168,79,50,4,1,46,35,106,113,1,Matches
David Soria,es ESP,GK,27,28,0,0,0,0,0,0,1,0,1,4,0,0,4,0,0,1,0,0,1,0,0,1,0,Matches
Damian Suarez,uy URU,DF,32,27,55,33,30,20,5,25,68,36.8,43,507,148,29.2,189,226,92,58,2,0,56,34,89,86,0,Matches
Allan Nyom,cm CMR,"MF,DF",32,25.8,42,24,19,19,4,22,37,59.5,15,317,98,30.9,115,137,65,41,2,0,39,26,68,63,0,Matches
Jaime Mata,es ESP,FW,31,22.6,14,10,1,7,6,2,9,22.2,7,311,71,22.8,20,129,162,16,3,0,13,11,25,13,0,Matches
Cucho,co COL,"FW,MF",21,16.3,19,10,1,15,3,1,19,5.3,18,319,74,23.2,31,169,119,19,1,0,18,5,24,8,0,Matches
David Timor,es ESP,"MF,DF",30,15.5,15,8,4,9,2,8,18,44.4,10,118,37,31.4,36,62,20,11,3,1,8,13,28,92,1,Matches
Carles Alena,es ESP,"MF,FW",22,15.2,18,10,4,11,3,7,21,33.3,14,260,64,24.6,49,153,58,17,1,0,16,7,25,9,0,Matches
Erick Cabaco,uy URU,DF,25,14.7,24,17,14,8,2,8,15,53.3,7,137,49,35.8,58,71,8,17,7,0,10,12,36,105,1,Matches
Enes Unal,tr TUR,FW,23,14.6,10,7,2,6,2,1,10,10,9,324,73,22.5,23,169,132,18,1,0,17,3,13,13,0,Matches
Angel Rodriguez,es ESP,"FW,MF",33,15.3,5,3,1,1,3,1,13,7.7,12,250,53,21.2,13,129,108,11,2,0,9,2,7,7,0,Matches
Ruben Yanez,es ESP,GK,26,10,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
Sofian Chakla,ma MAR,DF,26,10,13,7,10,2,1,3,5,60,2,76,25,32.9,46,29,1,6,3,0,3,13,26,96,0,Matches
Xabier Etxeita,es ESP,DF,32,9.8,12,6,7,5,0,5,14,35.7,9,77,29,37.7,46,25,6,11,3,0,8,10,22,77,1,Matches
Takefusa Kubo,jp JPN,"MF,FW",19,8.9,8,5,1,5,2,1,15,6.7,14,193,51,26.4,28,87,78,22,0,0,22,12,20,7,0,Matches
Iglesias,es ESP,"DF,MF",22,6.7,28,16,13,10,5,6,13,46.2,7,158,41,25.9,52,72,34,15,2,0,13,12,40,32,0,Matches
Chema,es ESP,"DF,MF",28,6.2,11,4,8,3,0,4,9,44.4,5,69,18,26.1,27,35,7,4,1,0,3,7,18,35,0,Matches
Francisco Portillo,es ESP,"MF,FW",30,4.6,5,3,1,4,0,3,14,21.4,11,58,12,20.7,15,28,15,6,0,0,6,5,10,2,0,Matches
Victor Mollejo,es ESP,"MF,DF",19,0.8,1,1,1,0,0,1,2,50,1,8,2,25,3,2,3,1,0,0,1,0,1,1,0,Matches
John Joe,ie IRL,"MF,DF",16,0.7,1,1,0,1,0,0,0,,0,24,4,16.7,4,17,3,1,0,0,1,1,2,0,0,Matches
Sabit Abdulai,gh GHA,MF,21,0.7,1,0,0,1,0,0,1,0,1,16,4,25,5,8,3,0,0,0,0,1,2,1,0,Matches
Emmanuel Amankwaa Akurugu,gh GHA,DF,18,0.5,0,0,0,0,0,0,0,,0,4,1,25,1,2,1,4,0,0,4,0,0,1,0,Matches
Jose Antonio Miranda,gq EQG,"MF,DF",22,0.3,0,0,0,0,0,0,2,0,2,15,2,13.3,2,13,0,1,0,0,1,1,1,0,0,Matches
Mamor Niang,sn SEN,"FW,MF",18,0.2,1,1,0,1,0,0,0,,0,7,4,57.1,0,5,2,0,0,0,0,1,2,0,0,Matches
Abdoulay Diaby,ml MLI,MF,29,0.2,1,1,0,1,0,0,0,,0,2,0,0,0,1,1,2,0,0,2,0,1,0,0,Matches
Ante Palaversa,hr CRO,MF,20,0.1,1,1,0,1,0,0,0,,0,5,2,40,0,5,0,1,0,0,1,0,1,0,0,Matches
Dario Poveda,es ESP,FW,23,0.1,0,0,0,0,0,0,0,,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,Matches
