Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Marc Cucurella,es ESP,MF,22,36,8,0,0,75,67,9,96,54,48,0,0,0,291,72,101,41.6,Matches
Djene,tg TOG,DF,28,32.7,8,2,1,34,40,1,7,55,36,1,2,0,357,71,44,61.7,Matches
Nemanja Maksimovic,rs SRB,MF,25,30.3,5,0,0,26,9,0,18,50,35,0,1,0,267,56,58,49.1,Matches
Mauro Arambarri,uy URU,MF,24,33.1,11,0,0,74,78,1,50,54,56,0,0,0,340,55,60,47.8,Matches
Mathias Olivera,uy URU,DF,22,29,6,0,0,28,26,2,51,35,41,0,1,0,301,74,68,52.1,Matches
David Soria,es ESP,GK,27,28,2,0,0,0,3,0,0,0,0,0,0,0,177,0,0,,Matches
Damian Suarez,uy URU,DF,32,27,13,1,1,60,37,0,63,34,33,0,1,0,261,37,30,55.2,Matches
Allan Nyom,cm CMR,"MF,DF",32,25.8,10,1,0,46,24,1,79,26,24,0,0,0,177,64,41,61,Matches
Jaime Mata,es ESP,FW,31,22.6,9,1,0,76,41,27,36,11,10,0,0,0,110,90,128,41.3,Matches
Cucho,co COL,"FW,MF",21,16.3,5,0,0,33,34,10,31,5,10,0,0,0,100,40,73,35.4,Matches
David Timor,es ESP,"MF,DF",30,15.5,5,1,0,19,14,0,10,13,8,0,0,1,184,42,36,53.8,Matches
Carles Alena,es ESP,"MF,FW",22,15.2,1,0,0,21,31,0,24,7,10,0,0,0,118,13,37,26,Matches
Erick Cabaco,uy URU,DF,25,14.7,9,0,0,31,22,1,3,12,17,0,0,0,140,52,19,73.2,Matches
Enes Unal,tr TUR,FW,23,14.6,4,0,0,46,40,5,6,3,7,1,0,0,70,100,113,46.9,Matches
Angel Rodriguez,es ESP,"FW,MF",33,15.3,4,0,0,28,27,13,14,2,3,1,0,0,67,26,77,25.2,Matches
Ruben Yanez,es ESP,GK,26,10,2,0,0,1,3,0,0,0,0,0,0,0,47,0,0,,Matches
Sofian Chakla,ma MAR,DF,26,10,5,0,0,13,14,0,0,13,7,0,3,1,104,39,18,68.4,Matches
Xabier Etxeita,es ESP,DF,32,9.8,3,0,0,14,5,0,0,10,6,0,0,1,112,18,24,42.9,Matches
Takefusa Kubo,jp JPN,"MF,FW",19,8.9,2,0,0,20,24,4,16,12,5,0,0,0,58,5,21,19.2,Matches
Iglesias,es ESP,"DF,MF",22,6.7,2,0,0,17,19,1,16,12,16,0,0,0,56,11,10,52.4,Matches
Chema,es ESP,"DF,MF",28,6.2,3,1,0,15,3,0,0,7,4,0,0,0,66,10,15,40,Matches
Francisco Portillo,es ESP,"MF,FW",30,4.6,1,0,0,4,3,0,12,5,3,0,0,0,42,1,15,6.3,Matches
Victor Mollejo,es ESP,"MF,DF",19,0.8,0,0,0,0,2,0,2,0,1,0,0,0,3,1,2,33.3,Matches
John Joe,ie IRL,"MF,DF",16,0.7,0,0,0,2,0,0,0,1,1,0,0,0,7,1,3,25,Matches
Sabit Abdulai,gh GHA,MF,21,0.7,1,0,0,2,1,0,1,1,0,0,0,0,5,1,1,50,Matches
Emmanuel Amankwaa Akurugu,gh GHA,DF,18,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100,Matches
Jose Antonio Miranda,gq EQG,"MF,DF",22,0.3,1,0,0,2,2,0,0,1,0,0,0,0,4,2,0,100,Matches
Mamor Niang,sn SEN,"FW,MF",18,0.2,0,0,0,0,1,0,0,1,1,0,0,0,2,1,4,20,Matches
Abdoulay Diaby,ml MLI,MF,29,0.2,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0,Matches
Ante Palaversa,hr CRO,MF,20,0.1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,,Matches
Dario Poveda,es ESP,FW,23,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,66.7,Matches
