Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,01-Mar,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
Marc Cucurella,es ESP,MF,22,36,1728,27,238,696,898,95,1598,25,51,49,27,3,1082,5434,3144,162,53,23,60,58,1412,1032,73.1,158,Matches
Djene,tg TOG,DF,28,32.7,1310,143,613,691,84,10,1245,9,13,69.2,9,0,609,3615,1717,47,6,3,8,11,503,478,95,6,Matches
Nemanja Maksimovic,rs SRB,MF,25,30.3,1043,52,217,600,281,39,1001,13,22,59.1,15,0,487,2731,1196,71,21,2,19,14,570,458,80.4,30,Matches
Mauro Arambarri,uy URU,MF,24,33.1,1469,47,251,877,452,39,1349,31,56,55.4,34,4,866,5042,2174,100,47,8,31,32,863,737,85.4,59,Matches
MathÃias Olivera,uy URU,DF,22,29,1478,79,374,689,494,63,1203,22,33,66.7,23,2,683,3797,2288,105,43,9,28,25,677,590,87.1,40,Matches
David Soria,es ESP,GK,27,28,927,719,910,17,1,0,584,0,0,,0,0,377,2778,2019,0,0,0,0,0,264,258,97.7,0,Matches
Damian Suarez,uy URU,DF,32,27,1568,45,374,804,449,10,1194,20,35,57.1,21,6,665,2876,1688,72,28,3,10,19,722,671,92.9,29,Matches
Allan Nyom,cm CMR,"MF,DF",32,25.8,1138,48,253,551,390,34,972,13,24,54.2,14,1,572,2822,1273,75,30,4,19,28,712,595,83.6,60,Matches
Jaime Mata,es ESP,FW,31,22.6,819,12,38,364,442,109,791,10,21,47.6,13,0,460,1693,686,38,10,10,63,30,1133,609,53.8,145,Matches
Cucho,co COL,"FW,MF",21,16.3,747,9,50,314,430,57,731,22,33,66.7,23,1,543,3033,1572,95,27,14,59,54,831,562,67.6,108,Matches
David Timor,es ESP,"MF,DF",30,15.5,757,52,200,427,154,5,677,2,3,66.7,2,0,304,1623,797,41,7,1,4,3,357,338,94.7,6,Matches
Carles Alena,es ESP,"MF,FW",22,15.2,735,8,67,383,329,20,667,18,28,64.3,19,3,497,2518,1296,61,24,1,17,19,638,491,77,46,Matches
Erick Cabaco,uy URU,DF,25,14.7,604,59,287,314,33,9,554,3,4,75,3,0,253,1315,726,15,5,0,3,1,261,244,93.5,3,Matches
Enes Unal,tr TUR,FW,23,14.6,576,14,27,253,317,80,561,14,23,60.9,15,0,318,1264,624,32,11,5,56,47,772,437,56.6,99,Matches
Angel Rodriguez,es ESP,"FW,MF",33,15.3,519,8,24,239,283,67,505,9,29,31,10,1,345,1484,616,41,10,7,49,31,764,388,50.8,136,Matches
Ruben Yanez,es ESP,GK,26,10,286,248,285,2,0,0,184,0,0,,0,0,123,1027,697,0,0,0,0,0,105,104,99,0,Matches
Sofian Chakla,ma MAR,DF,26,10,336,54,193,145,12,7,324,0,1,0,1,0,111,789,405,12,2,0,0,1,93,86,92.5,1,Matches
Xabier Etxeita,es ESP,DF,32,9.8,400,49,192,205,19,8,386,2,2,100,2,0,167,942,462,13,2,0,2,1,168,158,94,4,Matches
Takefusa Kubo,jp JPN,"MF,FW",19,8.9,353,7,32,126,219,31,335,20,44,45.5,23,2,261,1262,845,48,12,7,28,19,367,225,61.3,58,Matches
Iglesias,es ESP,"DF,MF",22,6.7,314,17,91,140,98,4,268,4,9,44.4,5,1,139,740,393,22,8,1,3,7,153,118,77.1,12,Matches
Chema,es ESP,"DF,MF",28,6.2,218,30,100,111,12,4,208,0,1,0,0,0,76,417,194,4,0,0,0,0,80,73,91.3,1,Matches
Francisco Portillo,es ESP,"MF,FW",30,4.6,313,2,35,146,149,11,301,8,15,53.3,8,0,250,1018,511,31,8,2,6,9,283,238,84.1,24,Matches
Victor Mollejo,es ESP,"MF,DF",19,0.8,44,0,2,25,22,3,41,2,4,50,2,0,35,195,130,7,3,1,0,3,41,35,85.4,5,Matches
John Joe,ie IRL,"MF,DF",16,0.7,38,0,2,15,21,5,38,0,0,,0,0,27,49,22,2,0,0,6,6,32,27,84.4,5,Matches
Sabit Abdulai,gh GHA,MF,21,0.7,17,0,2,11,6,0,17,1,3,33.3,1,0,11,46,22,1,1,0,0,0,10,8,80,1,Matches
Emmanuel Amankwaa Akurugu,gh GHA,DF,18,0.5,17,0,5,11,3,0,15,0,0,,0,0,8,67,41,1,0,0,1,0,9,9,100,0,Matches
Jose Antonio Miranda,gq EQG,"MF,DF",22,0.3,25,0,0,13,13,3,25,0,1,0,0,0,17,97,53,4,1,1,0,2,22,18,81.8,4,Matches
Mamor Niang,sn SEN,"FW,MF",18,0.2,14,0,0,7,7,1,12,2,3,66.7,2,0,9,8,2,0,0,0,4,1,18,7,38.9,1,Matches
Abdoulay Diaby,ml MLI,MF,29,0.2,17,0,1,5,14,3,17,0,1,0,0,0,12,106,87,2,3,0,0,1,14,13,92.9,3,Matches
Ante Palaversa,hr CRO,MF,20,0.1,12,0,0,6,6,0,8,0,0,,0,0,6,30,8,0,0,0,0,0,4,4,100,0,Matches
Dario Poveda,es ESP,FW,23,0.1,8,0,0,1,7,1,8,0,0,,0,0,2,0,0,0,0,0,2,0,8,6,75,1,Matches
